20	20	30
19	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	11	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	15	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	15	15	15	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	15	15	15	15	15	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	15	15	15	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	15	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	24	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
4	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
