15	15	30
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	14	15	2	2	10	1	1	1	1	1	
1	1	1	1	10	17	2	10	14	2	14	1	1	1	1	
1	1	1	14	2	6	4	14	15	14	24	2	1	1	1	
1	1	15	11	14	2	1	1	1	6	18	2	10	1	1	
1	1	14	14	15	1	1	15	1	1	17	2	2	1	1	
1	1	10	17	2	1	14	22	2	1	17	15	15	1	1	
1	1	2	17	2	1	1	2	1	1	14	14	15	1	1	
1	1	2	14	10	15	1	1	1	15	2	10	14	1	1	
1	1	1	2	14	4	7	4	4	14	2	14	1	1	1	
1	1	1	1	15	2	17	12	2	14	2	1	1	1	1	
1	1	1	1	1	10	14	2	2	10	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
