25	15	30
14	14	14	14	17	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
14	2	14	14	17	14	14	14	14	22	14	14	1	15	15	15	15	15	15	15	15	2	2	15	15	
1	1	1	1	17	14	2	14	14	14	14	14	1	1	55	17	14	14	15	15	15	15	2	22	15	
14	14	2	1	17	14	22	14	14	2	14	14	14	1	55	17	10	2	14	2	2	15	15	15	2	
14	2	14	1	17	14	14	14	10	14	14	10	14	1	55	17	2	2	10	23	2	14	15	2	15	
14	1	1	1	6	4	18	23	14	5	4	4	4	3	4	20	10	2	14	14	10	17	15	15	15	
14	1	10	1	1	14	6	7	4	19	14	14	14	1	55	17	14	14	5	4	4	20	2	15	15	
1	1	14	10	1	1	1	17	14	14	14	22	14	1	55	8	4	4	19	2	14	17	15	15	15	
14	14	10	14	14	2	1	16	1	14	10	14	2	1	1	16	1	1	1	1	10	17	15	2	15	
14	14	14	14	14	14	5	19	1	1	1	2	2	1	55	17	55	55	55	1	2	17	15	15	15	
14	10	14	14	5	4	19	14	14	14	1	1	1	1	55	17	10	2	55	1	2	10	2	15	15	
4	4	4	4	19	14	14	14	14	10	14	2	14	1	55	10	24	10	55	1	14	2	15	2	15	
14	14	11	14	14	15	15	2	14	2	14	22	1	1	55	6	2	10	15	15	15	15	15	15	15	
14	14	10	14	10	2	15	15	2	15	15	15	1	15	15	2	14	2	15	2	2	15	22	15	15	
14	14	14	14	2	2	2	15	15	15	15	15	15	15	15	15	15	15	2	15	15	15	15	15	15	
