41	23	30
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	14	14	14	1	1	14	14	14	14	14	14	1	1	1	2	14	14	15	2	15	14	1	1	1	14	15	14	22	15	2	14	15	14	15	14	1	1	1	
1	1	2	10	14	10	14	1	14	15	2	2	2	14	14	1	1	14	10	2	10	17	10	14	2	1	14	14	2	14	2	15	15	1	14	10	2	10	14	1	1	
1	1	2	2	17	14	2	14	14	2	10	2	2	15	2	14	14	14	4	7	4	19	2	15	15	2	14	2	14	15	2	15	1	15	17	14	15	2	14	1	1	
1	1	14	10	17	11	14	14	2	2	5	4	4	4	18	2	14	14	2	17	13	15	1	1	15	15	15	14	15	2	15	14	1	2	17	12	14	10	2	1	1	
1	1	14	2	17	2	14	14	5	4	19	2	2	2	6	18	2	14	14	17	2	2	14	15	1	1	15	14	2	15	2	1	1	15	17	2	15	2	15	1	1	
1	1	14	14	6	4	7	4	19	15	2	2	15	2	14	6	4	4	4	9	4	4	4	4	4	3	4	4	18	14	1	1	14	2	6	18	14	15	14	1	1	
1	1	1	14	2	14	17	10	14	14	2	2	2	2	2	14	2	14	10	17	15	14	14	14	14	1	14	10	6	18	1	14	15	15	15	17	15	2	14	1	1	
1	1	1	1	14	14	17	2	2	15	2	2	23	2	14	14	14	14	14	6	18	14	14	14	2	1	1	14	1	16	1	2	14	2	10	17	2	15	2	1	1	
1	1	1	1	22	14	17	15	2	2	15	2	14	14	14	1	1	14	14	14	6	18	10	14	2	2	1	1	1	17	14	2	5	4	4	19	14	10	15	1	1	
1	1	1	1	1	14	17	14	14	2	2	14	14	1	1	1	1	1	1	14	14	17	14	14	2	14	1	14	14	6	4	4	20	14	14	14	14	14	14	1	1	
1	1	1	14	1	1	6	18	14	14	14	22	1	1	1	1	1	1	1	1	22	17	14	2	1	1	1	14	2	14	2	2	17	14	14	14	14	1	1	1	1	
1	1	14	10	14	1	14	17	14	14	14	1	1	1	1	14	14	14	1	1	1	16	1	1	1	1	14	2	23	15	14	2	6	18	10	14	14	2	1	1	1	
1	1	14	14	14	14	14	17	10	14	14	1	1	1	14	14	10	14	14	1	1	16	1	1	1	14	14	14	2	2	22	15	14	6	18	14	14	14	1	1	1	
1	1	1	14	2	14	14	8	4	4	4	3	3	3	4	4	18	14	14	14	14	17	10	14	2	14	2	14	2	15	2	2	14	14	17	14	14	14	14	1	1	
1	1	1	14	2	2	14	17	2	14	1	1	1	1	14	14	17	14	2	14	14	17	14	14	14	2	14	2	14	2	2	14	2	14	8	4	4	14	2	1	1	
1	1	14	10	14	26	14	17	14	14	1	1	1	14	14	15	17	14	2	14	25	17	14	14	14	14	10	2	5	4	4	4	4	4	20	24	14	10	2	1	1	
1	1	14	2	4	4	4	19	14	1	1	1	1	22	2	15	6	4	4	4	4	21	4	4	4	4	4	4	19	2	14	10	14	14	17	14	2	2	14	1	1	
1	1	14	10	2	10	2	14	14	1	1	1	1	1	15	15	14	2	10	2	10	2	10	14	2	2	15	2	14	2	2	2	2	14	14	10	2	10	14	1	1	
1	1	1	14	14	14	14	14	1	1	1	1	1	1	15	14	2	14	14	15	2	2	14	2	14	2	2	14	2	15	2	2	15	2	2	2	14	14	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
