15	15	30
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	2	2	14	1	1	10	2	10	1	1	14	2	2	1	
1	14	10	4	3	3	4	11	4	3	3	4	10	2	1	
1	15	17	2	1	1	2	17	2	1	1	2	17	15	1	
1	1	16	1	1	1	1	16	1	1	1	1	16	1	1	
1	1	16	1	1	9	9	17	9	9	1	1	16	1	1	
1	10	17	14	1	9	10	21	10	9	1	14	17	10	1	
1	2	13	4	3	4	20	23	8	4	3	4	12	2	1	
1	10	17	2	1	9	10	7	10	9	1	15	17	10	1	
1	1	16	1	1	9	9	17	9	9	1	1	16	1	1	
1	1	16	1	1	1	1	16	1	1	1	1	16	1	1	
1	2	17	14	1	1	15	16	14	1	1	15	17	15	1	
1	14	10	4	3	3	4	24	4	3	3	4	10	15	1	
1	15	2	2	1	1	10	2	10	1	1	2	14	2	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
