15	15	30
2	10	17	10	14	5	4	4	4	4	4	4	7	4	25	
2	2	6	4	7	19	14	14	10	14	14	14	17	2	10	
2	2	2	14	17	14	14	1	1	1	1	1	16	1	14	
2	2	2	2	10	14	14	1	1	1	1	1	16	1	1	
2	2	2	2	2	23	14	14	1	1	1	1	16	1	1	
2	2	2	2	2	2	14	14	1	1	1	10	17	1	1	
2	2	2	2	2	2	2	14	1	1	1	1	16	1	1	
15	15	15	15	15	15	15	11	1	1	1	1	16	1	1	
15	15	15	15	15	15	15	14	1	14	14	14	17	2	2	
15	15	15	15	15	15	14	14	1	14	5	4	9	4	4	
15	15	12	15	15	14	14	14	1	14	17	15	17	2	2	
15	15	15	15	5	4	4	4	3	4	19	14	17	2	2	
15	15	15	14	17	14	14	14	1	14	14	24	17	2	2	
15	15	14	10	17	14	10	14	1	14	14	14	17	2	2	
15	14	14	14	17	14	14	14	1	14	14	10	17	2	2	
